TC2004_ID,NAME,TotalOfPremise,Comparison_Prop,Convenience_Prop,Leisure_Prop,Services_Prop,Vacant_Prop
RC0605,Truro Retail Core,357,0.481792717,0.047619048,0.168067227,0.198879552,0.103641457
TC1271,Tunbridge Wells,666,0.445945946,0.058558559,0.145645646,0.214714715,0.135135135
RC0606,Tunbridge Wells Retail Core,307,0.475570033,0.06514658,0.127035831,0.175895765,0.156351792
TC1272,Tunstall,66,0.378787879,0.015151515,0.106060606,0.227272727,0.272727273
RC0607,Tunstall Retail Core,24,0.333333333,0.041666667,0.083333333,0.333333333,0.208333333
TC1273,Twickenham,249,0.285140562,0.084337349,0.248995984,0.281124498,0.100401606
RC0608,Twickenham Retail Core,99,0.272727273,0.060606061,0.252525253,0.323232323,0.090909091
TC1274,Twyford,21,0.285714286,0.047619048,0.142857143,0.333333333,0.19047619
TC1275,Tyldesley,33,0.333333333,0.060606061,0.090909091,0.212121212,0.303030303
RC0609,"Tyndall's Park, Bristol Retail Core",127,0.37007874,0.023622047,0.377952756,0.165354331,0.062992126
TC1276,Uckfield,30,0.366666667,0.066666667,0.066666667,0.166666667,0.333333333
TC1277,Ulverston,67,0.358208955,0.029850746,0.149253731,0.179104478,0.28358209
RC0610,Ulverston Retail Core,34,0.352941176,0.029411765,0.147058824,0.176470588,0.294117647
TC1278,Underhill,36,0.277777778,0.138888889,0.333333333,0.222222222,0.027777778
TC1279,Upminster,131,0.305343511,0.106870229,0.221374046,0.297709924,0.06870229
RC0611,Upminster Retail Core,37,0.324324324,0.054054054,0.243243243,0.297297297,0.081081081
TC1281,Upper Edmonton,69,0.362318841,0.115942029,0.202898551,0.275362319,0.043478261
TC1282,Upper Norwood,173,0.283236994,0.063583815,0.306358382,0.277456647,0.069364162
RC0612,"Upper Street, Islington Retail Core",42,0.119047619,0.047619048,0.30952381,0.404761905,0.119047619
TC1283,Upper Tooting,100,0.24,0.12,0.27,0.32,0.05
