LAD_CODE,LAD_NAME,Av_08,Comp0812,Con0812,Lei0812,Ser0812
E07000078,Cheltenham,196.631524332025236,-37.054665532909326,-31.310418854677863,-22.188972483853348,-23.551848132849642
E07000239,Wyre Forest,125.009321927225059,-16.812638609717951,-17.744198353899023,-13.643191592412890,-16.031460522944144
E06000051,Shropshire,113.543616409385521,-15.498302756148675,-15.233817558157028,-15.334365642182362,-14.030246940676420
E09000027,Richmond upon Thames,261.795947985486180,-22.767302001354949,-20.449021138410558,-18.740136518554237,-20.704999325557736
E09000004,Bexley,129.740191675186622,-10.722430441425217,-9.412853243347996,-10.093238583992672,-10.603531664573424
E08000033,Calderdale,116.446813711788337,-18.539068104428466,-21.150050656041643,-16.594406490994771,-15.713929054598765
E07000126,South Ribble,130.505998397112734,-23.150269287012691,-19.515859260374967,-24.346924054840571,-21.895565417396156
E06000013,North Lincolnshire,94.579628165735855,-15.155312109733870,-15.582487298373294,-13.539359423813110,-12.025577297477767
E07000097,East Hertfordshire,184.841251151737623,-29.541525633191924,-28.996322060694837,-25.042568181991555,-26.978379085453042
E06000017,Rutland,99.857150590200447,-8.802258448291695,-10.562864438090017,-8.095813597198315,-8.256521687246334
E07000138,Lincoln,156.314231919914846,-14.916704862941913,-12.828347619082336,-15.467713978982005,-12.408010632624453
E09000003,Barnet,214.831411435772509,-19.958770354181127,-15.910188704765545,-16.340681122469363,-16.496434742702860
E08000015,Wirral,105.310140463306936,-19.830012625746491,-17.739996416482612,-15.786563312085221,-17.885562806166106
E07000154,Northampton,131.655537920168342,-12.850644321486413,-11.355616707406853,-10.705322914144119,-11.643102093730889
E07000143,Breckland,114.757920882330652,-16.760954996974718,-16.700847202575105,-16.350345194910432,-17.504335304273454
E08000019,Sheffield,222.951633932410004,-47.018193013846542,-28.696137746944146,-28.784854038640162,-24.608852996510450
E07000226,Crawley,249.296390438027316,-44.208316790472509,-33.174625035399544,-30.041731076083863,-30.962990280604970
E06000020,Telford and Wrekin,211.175374774035191,-33.386269461211896,-21.319075049776160,-17.997618642856992,-21.598404532686800
E07000224,Arun,139.075656528410661,-19.595937663110988,-18.396677012656895,-20.710470251602615,-19.159475095398918
